id,exam_family,test_code,section,domain,skill,subskill,difficulty,time_target_seconds,stem,options_json,correct_key,solution_markdown,wrong_explanations_json,created_at
acb131ff-2ab7-4314-a981-ef8f580684bb,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,7,120,"Scientists are debating the primary mechanism responsible for the rapid diversification of Cichlid fish in Lake Malawi. 

**Hypothesis 1:** Diversification was driven by allopatric speciation, where geographical barriers (like fluctuating lake levels creating isolated ponds) led to reproductive isolation and subsequent divergence.

**Hypothesis 2:** Diversification was driven by sympatric speciation, where sexual selection and assortative mating within the same geographic area led to rapid divergence without physical barriers.

Which of the following observations would best support Hypothesis 1 over Hypothesis 2?","{""A"": ""Genetic analysis reveals distinct lineages of Cichlids associated with different shallow water habitats separated by deep water."", ""B"": ""Numerous Cichlid species exhibit highly specialized feeding morphologies, allowing them to exploit different niches within the same lake region."", ""C"": ""Males of different Cichlid species often display strikingly different coloration patterns, which females use for mate selection."", ""D"": ""Fossil records indicate long periods of stable lake levels and consistent environmental conditions in Lake Malawi.""}",A,"Hypothesis 1 emphasizes allopatric speciation, which relies on geographical barriers leading to reproductive isolation. Option A directly supports this by describing distinct genetic lineages linked to habitats separated by deep water, which would act as a geographical barrier. Option B supports sympatric speciation by indicating niche partitioning within the same area. Option C also supports sympatric speciation by highlighting sexual selection. Option D contradicts Hypothesis 1 by suggesting a lack of fluctuating lake levels that would create barriers.","{""A"": ""This option supports Hypothesis 1 by pointing to geographically isolated populations leading to distinct lineages."", ""B"": ""This evidence would support sympatric speciation (Hypothesis 2), as it describes diversification within the same geographic area through niche specialization."", ""C"": ""This evidence would support sympatric speciation (Hypothesis 2), as sexual selection is a key driver of sympatric speciation."", ""D"": ""Stable lake levels would reduce the likelihood of geographical isolation, thus weakening Hypothesis 1.""}",2026-06-26 06:53:54.50884+00
0ad68eb2-d785-40cf-a08d-5f8550f94be6,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,9,110,"Hypothesis A proposes that the Earth's magnetic field is generated by convection currents in its liquid outer core, driven by cooling and solidification of the inner core. Hypothesis B suggests that the magnetic field is primarily a remnant of the early solar nebula's magnetic field, trapped within the Earth's interior during its formation. Which of the following best highlights the fundamental difference between the two hypotheses?","{""A"": ""Whether the Earth has a liquid outer core."", ""B"": ""The energy source driving the magnetic field."", ""C"": ""The strength of the magnetic field."", ""D"": ""If the magnetic field protects Earth from solar radiation.""}",B,"Hypothesis A describes an *active, ongoing process* (convection currents driven by inner core solidification) as the energy source for the magnetic field. Hypothesis B describes a *passive, remanent field* from the solar nebula, implying that the magnetic field is a fossilized feature rather than actively generated. Thus, the fundamental difference lies in the *source and mechanism of energy* sustaining the magnetic field.","{""A"": ""Hypothesis A explicitly requires a liquid outer core, and Hypothesis B doesn't necessarily preclude it, but the core conflict isn't about the existence of the core."", ""C"": ""Both hypotheses could potentially account for a field of a certain strength; the difference is *how* that strength is achieved or maintained."", ""D"": ""Both hypotheses would agree on the protective function of the field; this is a consequence, not a cause.""}",2026-06-26 06:52:24.302282+00
5765dcb8-9c7c-486c-9c60-0d1a5fa691bc,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,6,80,"Two researchers, Dr. Lee and Dr. Kim, are discussing the primary mechanism by which certain deep-sea organisms obtain energy. Dr. Lee argues that chemosynthesis, utilizing chemical compounds from hydrothermal vents, is the sole energy source. Dr. Kim, however, believes that these organisms also derive significant energy from consuming microbial mats that have utilized sparse sunlight filtering through the water column. Which statement identifies a disagreement between Dr. Lee and Dr. Kim?","{""A"": ""Whether sunlight can reach deep-sea environments."", ""B"": ""The relative importance of chemosynthesis versus photosynthesis as an energy source."", ""C"": ""If deep-sea organisms are primary producers or consumers."", ""D"": ""The role of hydrothermal vents in sustaining deep-sea ecosystems.""}",B,"Dr. Lee focuses on chemosynthesis. Dr. Kim introduces microbial mats that utilize 'sparse sunlight filtering through the water column,' implying a photosynthetic process, in addition to chemosynthesis. Therefore, the core disagreement is about the relative contributions of chemosynthesis (chemical energy) and photosynthesis (light energy) to the energy budget of these deep-sea organisms.","{""A"": ""Dr. Kim implicitly accepts that sunlight *can* reach, albeit sparsely; the debate is about its *contribution to energy*, not its mere presence."", ""C"": ""Both researchers are discussing the ultimate *source* of energy for the ecosystem, not specifically whether the *organisms themselves* are primary producers or consumers, though microbial mats are producers."", ""D"": ""Dr. Lee clearly emphasizes hydrothermal vents, and Dr. Kim's view doesn't necessarily dispute their role, but rather *expands* on other potential energy sources.""}",2026-06-26 06:52:24.302282+00
90f638bb-aede-45d6-9736-e2b604ffcef0,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,7,90,"Two models are presented to explain the formation of Earth's Moon. Model P suggests the Moon formed from debris ejected after a Mars-sized object collided with early Earth. Model Q proposes that the Moon formed alongside Earth from the same primordial accretion disk, with both bodies growing in close proximity. What is a primary point of divergence between these models?","{""A"": ""The initial temperature of the early Earth."", ""B"": ""The relative abundance of heavy elements in the Moon's mantle."", ""C"": ""The origin of the material that formed the Moon."", ""D"": ""The rate of Earth's rotation shortly after its formation.""}",C,"Model P attributes the Moon's material to debris from a catastrophic impact with Earth, implying a significant portion came from the impactor and Earth itself after the collision. Model Q attributes the Moon's material to the same primordial disk that formed Earth. Therefore, the origin of the Moon's material is a direct point of conflict.","{""A"": ""While impact events could affect temperature, the core conflict is about the *source* of material, not its thermal state."", ""B"": ""Elemental composition *differences* would be *evidence* supporting or refuting a model, but the models themselves are about the *origin process*."", ""D"": ""Rotation rate might be a *consequence* or *parameter* of a formation model, but not its primary defining difference as presented.""}",2026-06-26 06:52:24.302282+00
edb167e7-6a07-46e4-9fd3-06ce8ac988bc,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,8,100,"Consider two hypotheses regarding the causes of mass extinction events. Hypothesis X posits that large-scale volcanic eruptions release gases and ash, leading to global climate disruption and subsequent extinctions. Hypothesis Y suggests that extraterrestrial impacts introduce catastrophic environmental changes, like dust clouds blocking sunlight, causing widespread extinctions. What is a key difference in the proposed *proximate cause* of extinction according to these hypotheses?","{""A"": ""Whether the extinctions occurred simultaneously across the globe."", ""B"": ""The spatial scale over which the primary disruptive agent originated."", ""C"": ""The duration of the extinction event."", ""D"": ""If the extinctions were caused by biological factors.""}",B,"Hypothesis X (volcanic eruptions) proposes an Earth-based origin for the disruptive agent, while Hypothesis Y (extraterrestrial impacts) proposes an origin from space. The 'spatial scale over which the primary disruptive agent originated' directly addresses this difference. Both propose global effects, but the *source* of the disruption differs significantly in its spatial origin (Earth's interior vs. outside Earth).","{""A"": ""Both hypotheses typically describe global extinctions, so simultaneity isn't the key difference in the *cause*."", ""C"": ""While volcanic events and impacts might have different durations of effect, the primary difference described is the *source* of the disruption, not its timeframe."", ""D"": ""Both hypotheses describe abiotic causes (volcanic activity, impact), not biological factors.""}",2026-06-26 06:52:24.302282+00
55e7d900-34e3-4bb4-86fd-af9a345029ef,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,6,75,"Two scientists debate the primary factor controlling the rate of species evolution. Scientist 1 argues that environmental pressures, such as climate change and resource scarcity, are the dominant drivers. Scientist 2 contends that genetic mutation rates and genetic drift within populations play a more significant role, regardless of external pressures. Which statement best describes a point of conflict between their viewpoints?","{""A"": ""The role of natural selection vs. genetic factors in determining evolutionary speed."", ""B"": ""Whether evolution occurs through gradual change or punctuated equilibrium."", ""C"": ""The importance of interspecies competition in driving adaptation."", ""D"": ""If homologous structures indicate common ancestry.""}",A,"Scientist 1 emphasizes environmental pressures, which are the basis for natural selection. Scientist 2 emphasizes genetic mutation and genetic drift. Therefore, their conflict centers on the relative importance of natural selection (driven by environmental pressures) versus genetic factors (mutation and drift) in controlling the rate of evolution.","{""B"": ""This describes a different debate about the *pattern* of evolution, not the *driving forces*."", ""C"": ""Interspecies competition is a type of environmental pressure, aligning with Scientist 1's view, not a point of conflict."", ""D"": ""This is a concept supporting evolution, not a debate about its rate or mechanisms.""}",2026-06-26 06:52:24.302282+00
5037762c-6585-4d67-b7bf-99086ca845e5,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,7,90,Scientists are discussing the formation of a large impact crater on a planetary body. Two hypotheses are proposed.,"{""A"": ""Hypothesis 1 suggests a single, large impactor, while Hypothesis 2 suggests multiple smaller impactors."", ""B"": ""Hypothesis 1 proposes a volcanic origin, while Hypothesis 2 proposes an impact origin."", ""C"": ""Hypothesis 1 argues the crater formed recently, while Hypothesis 2 argues it formed billions of years ago."", ""D"": ""Hypothesis 1 states the impactor was icy, while Hypothesis 2 states it was rocky.""}",A,"The question asks to compare two conflicting hypotheses about the formation of a large impact crater. The options present different ways in which hypotheses could conflict. Only option A directly addresses a common point of contention in impact crater studies: whether a single large object or multiple smaller objects were responsible for the formation. The other options introduce new variables (volcanic origin, age, composition) that, while potentially relevant to crater studies, are not the most direct or common points of conflict when discussing the **mechanism** of formation for a single impact crater.

Option A describes a direct conflict regarding the **mechanism** of crater formation (single large impactor vs. multiple smaller impactors), which is a common area of debate in planetary science.","{""B"": ""This represents a fundamental disagreement about the origin of the feature itself (volcanic vs. impact), which would likely be resolved before debating the specifics of an 'impact crater' formation."", ""C"": ""While age can be debated, it's a separate characteristic from the *formation mechanism* being discussed."", ""D"": ""The composition of the impactor (icy vs. rocky) is a detail about the impactor, not a primary conflict about the *number* of impactors or general formation mechanism.""}",2026-06-26 06:52:24.302282+00
46d7350c-3ea3-402d-bbe4-aafe0b9aa260,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,9,120,"Two hypotheses attempt to explain the 'Faint Young Sun Paradox,' where geological evidence suggests liquid water was present on early Earth despite the Sun being significantly dimmer than it is today.

**Hypothesis 1 (High Greenhouse Gas Atmosphere):** Early Earth had a much thicker atmosphere with high concentrations of potent greenhouse gases (e.g., CO2, methane), trapping enough heat to warm the planet despite the weaker Sun.

**Hypothesis 2 (Lower Albedo):** Early Earth had a significantly lower albedo (reflectivity) due to less continental landmass, fewer clouds, and a lack of extensive ice sheets. This allowed more of the faint solar radiation to be absorbed, keeping the planet warm.

Which observation would present a challenge to *both* hypotheses?","{""A"": ""Geochemical analysis of ancient rocks showing CO2 levels similar to or only slightly higher than present-day levels."", ""B"": ""Evidence of extensive glacial deposits and large ice sheets during periods when liquid water was also present."", ""C"": ""Paleontological findings indicating the presence of heat-sensitive organisms that thrive in moderate temperatures."", ""D"": ""Astronomical data confirming the Sun was indeed significantly less luminous during Earth's early history.""}",B,"Hypothesis 1 explains warmth with greenhouse gases, while Hypothesis 2 explains it with low albedo. Both mechanisms aim to explain a *warm* early Earth with *liquid water*. If extensive glacial deposits and large ice sheets are found during this period, it directly contradicts the idea of a generally warm planet with widespread liquid water, thereby challenging both hypotheses which seek to explain that warmth. Option A challenges H1 specifically. Option C is consistent with both. Option D is the premise of the paradox, not a challenge to the solutions.","{""A"": ""This challenges Hypothesis 1 directly by undermining the premise of high CO2, but it doesn't challenge Hypothesis 2."", ""B"": ""Both hypotheses aim to explain a *warm* early Earth with liquid water. The presence of *extensive glacial deposits and large ice sheets* would contradict the idea of a generally warm planet, thus challenging the fundamental premise that both hypotheses are trying to solve."", ""C"": ""The presence of heat-sensitive organisms implies moderate temperatures, which is consistent with early Earth being warm enough for liquid water and thus consistent with both hypotheses."", ""D"": ""This is the premise of the 'Faint Young Sun Paradox' itself, not a challenge to the proposed solutions to it.""}",2026-06-26 06:53:54.50884+00
b5d7325c-1fdb-49fb-a36c-55c82c14f491,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,7,100,"Two paleontologists are discussing the locomotion of the Tyrannosaurus rex.

**Paleontologist A:** T. rex was a relatively fast runner, capable of speeds up to 15-20 m/s (34-45 mph). Its strong leg bones and large muscle attachment sites indicate it was built for powerful, sustained pursuit of prey.

**Paleontologist B:** T. rex was an obligate scavenger or, at best, an ambush predator, limited to much slower speeds, perhaps 5-10 m/s (11-22 mph). Its large mass, short strides, and potential for bone stress at higher speeds suggest it was not built for fast running.

Which of the following research findings would provide the *strongest* evidence to support Paleontologist A's claim?","{""A"": ""Biomechanical modeling showing that the leg bone strength of T. rex could withstand forces generated at speeds of up to 20 m/s."", ""B"": ""Discovery of T. rex footprints indicating long strides consistent with walking, not running, gaits."", ""C"": ""Analysis of bite marks on Triceratops fossils that match T. rex jaws and show evidence of active predation."", ""D"": ""Comparisons of T. rex leg muscle attachment sites to modern large, fast-running birds like ostriches.""}",A,"Paleontologist A claims T. rex was a fast runner based on its physical build. Biomechanical modeling that confirms the leg bones could *withstand the forces generated at high speeds* directly supports this foundational aspect of Paleontologist A's argument, challenging Paleontologist B's concern about bone stress. Option B contradicts A. Option C supports active predation but not necessarily speed. Option D is a comparison, not a direct demonstration of speed capability.","{""A"": ""Paleontologist A's hypothesis is based on T. rex being built for speed. If biomechanical modeling shows its bones could handle the stress of high speeds, it directly supports the feasibility of fast running."", ""B"": ""Long strides consistent with walking would contradict Paleontologist A's claim of fast running, suggesting slower speeds."", ""C"": ""Evidence of active predation (hunting) supports T. rex as a predator, but it doesn't necessarily indicate *fast running*; an ambush predator or slower pursuit is still active predation."", ""D"": ""While comparisons can be informative, direct biomechanical modeling of T. rex's own structure to confirm its capability for high speed would be stronger evidence than an analogy to modern animals, as the scaling and specific adaptations can differ greatly.""}",2026-06-26 06:53:54.50884+00
bf7378bd-342b-4e7d-86f1-26291479e7f2,act,act-science,science,conflicting-viewpoints,comparing scientific hypotheses,,9,120,"Two competing models explain the origin of water on Earth.

**Model 1 (Asteroid Delivery):** Earth's water was primarily delivered by impacts from C-type (carbonaceous) asteroids and meteorites during the Late Heavy Bombardment, after the Earth's initial formation and differentiation, as they are rich in hydrated minerals.

**Model 2 (Cometary Delivery):** Earth's water largely originated from impacts with comets, especially those originating from the Kuiper Belt, which are predominantly icy bodies and would have contributed a significant volume of water over geological time.

Which of the following discoveries would most strongly support Model 1 over Model 2?","{""A"": ""Analysis of water in Earth's oceans reveals a D/H (deuterium to hydrogen) ratio similar to that found in carbonaceous chondrites."", ""B"": ""Spectroscopic analysis of comets reveals a wide range of D/H ratios, many significantly higher than Earth's oceans."", ""C"": ""The discovery of ancient volcanic rocks on Earth containing trace amounts of water, suggesting some internal origin."", ""D"": ""Evidence of widespread bombardment by icy bodies on the Moon and other terrestrial planets during early solar system history.""}",A,"A key piece of evidence used to constrain the origin of Earth's water is its D/H ratio. If Earth's oceanic water has a D/H ratio similar to carbonaceous chondrites (a type of C-type asteroid/meteorite), this strongly supports Model 1, as it suggests these bodies were the primary source. Model 2 is weakened if comets consistently have D/H ratios unlike Earth's water. Option B weakens Model 2, indirectly supporting Model 1, but option A provides direct positive evidence for Model 1. Option C suggests an internal origin, which is a third hypothesis not presented as a primary debate focus. Option D is general to early bombardment.","{""A"": ""The D/H ratio is a crucial tracer for the origin of water. A match with carbonaceous chondrites directly supports Model 1, as it indicates a shared source for water."", ""B"": ""This evidence would weaken Model 2, thus indirectly supporting Model 1, but it's not direct positive evidence for Model 1 itself."", ""C"": ""This suggests an indigenous origin for some water, which is a separate hypothesis not directly addressed in the comparison between asteroid and cometary delivery."", ""D"": ""Evidence of widespread bombardment by icy bodies (comets) would support Model 2, not Model 1, and the question asks for support for Model 1 over Model 2.""}",2026-06-26 06:53:54.50884+00
